KappaT,Bond,Height,Zcm,Width,Rfoot,Perimeter,SurfaceArea
1.999999993341910e+00,1.000000000000000e-08,1.999999911718713e+00,9.999999144890084e-01,1.000000001674126e+00,2.148387600411569e-06,3.141592648387600e+00,1.256637061454614e+01
1.999999991615743e+00,1.258925411794166e-08,1.999999890918985e+00,9.999998944085143e-01,1.000000002105671e+00,2.747034362114472e-06,3.141592647034362e+00,1.256637061454616e+01
1.999999989442630e+00,1.584893192461111e-08,1.999999865063514e+00,9.999998694584983e-01,1.000000002648951e+00,3.445330993925431e-06,3.141592645330994e+00,1.256637061454620e+01
1.999999986706833e+00,1.995262314968875e-08,1.999999832890557e+00,9.999998384254646e-01,1.000000003332901e+00,4.243186977873874e-06,3.141592643186978e+00,1.256637061454624e+01
1.999999983262676e+00,2.511886431509572e-08,1.999999793466733e+00,9.999998004367033e-01,1.000000004193940e+00,5.340487376547298e-06,3.141592640487376e+00,1.256637061454623e+01
1.999999978926732e+00,3.162277660168367e-08,1.999999744879217e+00,9.999997536558288e-01,1.000000005277924e+00,6.737088712959174e-06,3.141592637088713e+00,1.256637061454620e+01
1.999999973468109e+00,3.981071705534953e-08,1.999999684769730e+00,9.999996958207651e-01,1.000000006642582e+00,8.432810382606917e-06,3.141592632810382e+00,1.256637061454623e+01
1.999999966596099e+00,5.011872336272694e-08,1.999999610861843e+00,9.999996247762216e-01,1.000000008360582e+00,1.062742401075461e-05,3.141592627424010e+00,1.256637061454622e+01
1.999999957944763e+00,6.309573444801891e-08,1.999999519897347e+00,9.999995374164478e-01,1.000000010523420e+00,1.342064287188313e-05,3.141592620642871e+00,1.256637061454627e+01
1.999999947053368e+00,7.943282347242757e-08,1.999999407486088e+00,9.999994295432675e-01,1.000000013246267e+00,1.681210659792822e-05,3.141592612106598e+00,1.256637061454631e+01
1.999999933341911e+00,9.999999999999919e-08,1.999999269170046e+00,9.999992969403385e-01,1.000000016674126e+00,2.110136006477123e-05,3.141592601360065e+00,1.256637061454630e+01
