KappaT,Bond,Height,Zcm,Width,Rfoot,Perimeter,SurfaceArea
1.999999993341375e+00,1.000000000000000e-08,1.999999911717763e+00,9.999999144885223e-01,1.000000001673656e+00,2.148386122793454e-06,3.141592648386123e+00,1.256637061453432e+01
1.999999991601504e+00,1.258925411794166e-08,1.999999890893909e+00,9.999998943959082e-01,1.000000002093196e+00,2.746995168684902e-06,3.141592646995169e+00,1.256637061423262e+01
1.999999989426901e+00,1.584893192461111e-08,1.999999865035823e+00,9.999998694445918e-01,1.000000002635175e+00,3.445287715993557e-06,3.141592645287716e+00,1.256637061419998e+01
1.999999986689238e+00,1.995262314968875e-08,1.999999832859598e+00,9.999998384099137e-01,1.000000003317485e+00,4.243138548195683e-06,3.141592643138548e+00,1.256637061415880e+01
1.999999983260686e+00,2.511886431509572e-08,1.999999793463241e+00,9.999998004349528e-01,1.000000004192198e+00,5.340481903546733e-06,3.141592640481903e+00,1.256637061450242e+01
1.999999978926432e+00,3.162277660168367e-08,1.999999744878696e+00,9.999997536555695e-01,1.000000005277664e+00,6.737087895085198e-06,3.141592637087895e+00,1.256637061453963e+01
1.999999973453686e+00,3.981071705534953e-08,1.999999684744335e+00,9.999996958080049e-01,1.000000006629951e+00,8.432770697204789e-06,3.141592632770697e+00,1.256637061422874e+01
1.999999966580154e+00,5.011872336272694e-08,1.999999610833776e+00,9.999996247621232e-01,1.000000008346616e+00,1.062738013459204e-05,3.141592627380134e+00,1.256637061419524e+01
1.999999957941587e+00,6.309573444801891e-08,1.999999519891765e+00,9.999995374136401e-01,1.000000010520638e+00,1.342063413529310e-05,3.141592620634135e+00,1.256637061447638e+01
1.999999947051578e+00,7.943282347242757e-08,1.999999407482934e+00,9.999994295416833e-01,1.000000013244699e+00,1.681210166970651e-05,3.141592612101670e+00,1.256637061450688e+01
1.999999933341870e+00,9.999999999999919e-08,1.999999269169967e+00,9.999992969402934e-01,1.000000016674088e+00,2.110135994541662e-05,3.141592601359946e+00,1.256637061454532e+01
1.999999916065627e+00,1.258925411794156e-07,1.999999099234312e+00,9.999991342097576e-01,1.000000020976767e+00,2.658779058285228e-05,3.141592587790583e+00,1.256637061422509e+01
1.999999894332869e+00,1.584893192461098e-07,1.999998889900379e+00,9.999989339318649e-01,1.000000026408182e+00,3.337075470747817e-05,3.141592570754707e+00,1.256637061419053e+01
1.999999866988092e+00,1.995262314968858e-07,1.999998632434118e+00,9.999986878532117e-01,1.000000033259196e+00,4.184935021060723e-05,3.141592549350210e+00,1.256637061448044e+01
1.999999832547910e+00,2.511886431509552e-07,1.999998316100422e+00,9.999983858689347e-01,1.000000041870843e+00,5.252236252862003e-05,3.141592522362529e+00,1.256637061451213e+01
1.999999789190292e+00,3.162277660168341e-07,1.999997927145963e+00,9.999980149793251e-01,1.000000052712265e+00,6.578838893552189e-05,3.141592488388936e+00,1.256637061455202e+01
1.999999734589049e+00,3.981071705534921e-07,1.999997449313933e+00,9.999975599046865e-01,1.000000066345700e+00,8.234557359470103e-05,3.141592445573594e+00,1.256637061422280e+01
1.999999665867398e+00,5.011872336272653e-07,1.999996862593290e+00,9.999970018187986e-01,1.000000083524286e+00,1.029917232855744e-04,3.141592391723286e+00,1.256637061418821e+01
1.999999579367576e+00,6.309573444801840e-07,1.999996142470331e+00,9.999963177311948e-01,1.000000105164507e+00,1.287239779738342e-04,3.141592323977973e+00,1.256637061448837e+01
1.999999470455154e+00,7.943282347242692e-07,1.999995257847740e+00,9.999954784880826e-01,1.000000132394260e+00,1.604386583586124e-04,3.141592238658359e+00,1.256637061452336e+01
1.999999333342557e+00,9.999999999999836e-07,1.999994171968418e+00,9.999944497381166e-01,1.000000166674489e+00,1.996312606888658e-04,3.141592131260689e+00,1.256637061456816e+01
1.999999160710275e+00,1.258925411794146e-06,1.999992838381464e+00,9.999931880883178e-01,1.000000209815163e+00,2.476960274941396e-04,3.141591996027494e+00,1.256637061423448e+01
1.999998943396921e+00,1.584893192461085e-06,1.999991200859733e+00,9.999916411144857e-01,1.000000264141609e+00,3.065258594347080e-04,3.141591825859435e+00,1.256637061420742e+01
1.999998669831738e+00,1.995262314968842e-06,1.999989189102538e+00,9.999897433362115e-01,1.000000332548614e+00,3.780117231703432e-04,3.141591611723170e+00,1.256637061452995e+01
1.999998325417602e+00,2.511886431509531e-06,1.999986716802487e+00,9.999874145411111e-01,1.000000418653817e+00,4.644421693966119e-04,3.141591342169396e+00,1.256637061458627e+01
1.999997891811504e+00,3.162277660168315e-06,1.999983677191652e+00,9.999845556048822e-01,1.000000527041063e+00,5.683028883285708e-04,3.141591002888328e+00,1.256637061434379e+01
1.999997345948543e+00,3.981071705534888e-06,1.999979938211461e+00,9.999810440675735e-01,1.000000663505173e+00,6.922759567465953e-04,3.141590575956747e+00,1.256637061436853e+01
1.999996658748177e+00,5.011872336272612e-06,1.999975336770324e+00,9.999767289596754e-01,1.000000835303176e+00,8.393387126600120e-04,3.141590038712660e+00,1.256637061441534e+01
1.999995793631369e+00,6.309573444801788e-06,1.999969671238841e+00,9.999714238852446e-01,1.000001051598341e+00,1.012662743702857e-03,3.141589362743703e+00,1.256637061486290e+01
1.999994704498276e+00,7.943282347242627e-06,1.999962691722145e+00,9.999648981705971e-01,1.000001323882962e+00,1.215412189877482e-03,3.141588512189877e+00,1.256637061509887e+01
1.999993333347579e+00,9.999999999999755e-06,1.999954091698446e+00,9.999568694613383e-01,1.000001666655307e+00,1.451542061467560e-03,3.141587442061467e+00,1.256637061512361e+01
1.999991607188686e+00,1.258925411794135e-05,1.999943491083163e+00,9.999469880726158e-01,1.000002098192350e+00,1.724695889627433e-03,3.141586095889628e+00,1.256637061557339e+01
1.999989434087510e+00,1.584893192461072e-05,1.999930423377535e+00,9.999348258154628e-01,1.000002641463845e+00,2.039402581985485e-03,3.141584402581985e+00,1.256637061627677e+01
1.999986698338857e+00,1.995262314968826e-05,1.999914313085510e+00,9.999198553940184e-01,1.000003325414761e+00,2.400272904175051e-03,3.141582272904175e+00,1.256637061774998e+01
1.999983254228772e+00,2.511886431509510e-05,1.999894452476601e+00,9.999014298016047e-01,1.000004186439313e+00,2.812494622856138e-03,3.141579594622856e+00,1.256637061955723e+01
1.999978918352317e+00,3.162277660168289e-05,1.999869972212589e+00,9.998787561131670e-01,1.000005270385596e+00,3.282026891174103e-03,3.141576226891174e+00,1.256637062199979e+01
1.999973459849184e+00,3.981071705534855e-05,1.999839803008537e+00,9.998508612130114e-01,1.000006634997247e+00,3.815092968968493e-03,3.141571992968968e+00,1.256637062619799e+01
1.999966588042988e+00,5.011872336272571e-05,1.999802633827562e+00,9.998165551689087e-01,1.000008352926627e+00,4.419170919308269e-03,3.141566670919308e+00,1.256637063269354e+01
1.999957937035926e+00,6.309573444801737e-05,1.999756855520541e+00,9.997743812554660e-01,1.000010515663264e+00,5.102382414646691e-03,3.141559982414647e+00,1.256637064312580e+01
1.999947046151758e+00,7.943282347242562e-05,1.999700495205516e+00,9.997225585124949e-01,1.000013238334390e+00,5.873778303610419e-03,3.141551578303610e+00,1.256637065875567e+01
1.999933335493274e+00,9.999999999999673e-05,1.999631136936540e+00,9.996589125540312e-01,1.000016665900704e+00,6.743721088733707e-03,3.141541021088734e+00,1.256637068252924e+01
1.999916075079484e+00,1.258925411794125e-04,1.999545824046531e+00,9.995807907563953e-01,1.000020980870293e+00,7.723962839006038e-03,3.141527762839006e+00,1.256637071965830e+01
1.999894345943116e+00,1.584893192461059e-04,1.999440939365384e+00,9.994849586890183e-01,1.000026412957659e+00,8.827317561356369e-03,3.141511117561356e+00,1.256637077726548e+01
1.999866991237093e+00,1.995262314968809e-04,1.999312064040591e+00,9.993674792725075e-01,1.000033251300037e+00,1.006842707026052e-02,3.141490227070260e+00,1.256637086570241e+01
1.999832554764936e+00,2.511886431509490e-04,1.999153805004203e+00,9.992235657731907e-01,1.000041859885962e+00,1.146401885803750e-02,3.141464018858037e+00,1.256637100198426e+01
1.999789203482345e+00,3.162277660168263e-04,1.998959583979947e+00,9.990474030425922e-01,1.000052696841800e+00,1.303235359308205e-02,3.141431153593082e+00,1.256637121150590e+01
1.999734630135025e+00,3.981071705534823e-04,1.998721389210980e+00,9.988319396400074e-01,1.000066338828407e+00,1.479426074191310e-02,3.141389960741913e+00,1.256637153440735e+01
1.999665930602584e+00,5.011872336272530e-04,1.998429473309184e+00,9.985686366004715e-01,1.000083511584918e+00,1.677315892023791e-02,3.141338358920238e+00,1.256637203129547e+01
