KappaT,Bond,Height,Zcm,Width,Rfoot,Perimeter,SurfaceArea
1.999999993333336e+00,1.000000000000000e-08,1.999999932625193e+00,9.999999354029669e-01,1.000000001666667e+00,8.174835453669235e-05,3.141592648354536e+00,1.256637061435922e+01
1.999999991607167e+00,1.258925411794166e-08,1.999999916146408e+00,9.999999196434145e-01,1.000000002098210e+00,9.164699910560573e-05,3.141592646999106e+00,1.256637061435923e+01
1.999999989434043e+00,1.584893192461111e-08,1.999999895651030e+00,9.999999000535096e-01,1.000000002641487e+00,1.028452927599188e-04,3.141592645292760e+00,1.256637061435914e+01
1.999999986698248e+00,1.995262314968875e-08,1.999999870163848e+00,9.999998757062447e-01,1.000000003325437e+00,1.153431446715106e-04,3.141592643144671e+00,1.256637061435920e+01
1.999999983254088e+00,2.511886431509572e-08,1.999999838473905e+00,9.999998454513669e-01,1.000000004186477e+00,1.294404404745335e-04,3.141592640440475e+00,1.256637061435918e+01
1.999999978918147e+00,3.162277660168367e-08,1.999999799077868e+00,9.999998078619726e-01,1.000000005270462e+00,1.452370362316980e-04,3.141592637036231e+00,1.256637061435918e+01
1.999999973459519e+00,3.981071705534953e-08,1.999999750109601e+00,9.999997611681360e-01,1.000000006635119e+00,1.629327507141898e-04,3.141592632750714e+00,1.256637061435912e+01
1.999999966587521e+00,5.011872336272694e-08,1.999999689253379e+00,9.999997031752422e-01,1.000000008353119e+00,1.828273558335439e-04,3.141592627355834e+00,1.256637061435917e+01
1.999999957936177e+00,6.309573444801891e-08,1.999999613635969e+00,9.999996311625582e-01,1.000000010515955e+00,2.051205644477604e-04,3.141592620564448e+00,1.256637061435921e+01
1.999999947044783e+00,7.943282347242757e-08,1.999999519693199e+00,9.999995417578721e-01,1.000000013238800e+00,2.302120151047186e-04,3.141592612015105e+00,1.256637061435916e+01
1.999999933333336e+00,9.999999999999919e-08,1.999999403004875e+00,9.999994307826493e-01,1.000000016666666e+00,2.582012528731237e-04,3.141592601252873e+00,1.256637061435933e+01
1.999999916071638e+00,1.258925411794156e-07,1.999999258090282e+00,9.999992930604304e-01,1.000000020982089e+00,2.897877050333911e-04,3.141592587705033e+00,1.256637061435935e+01
1.999999894340460e+00,1.584893192461098e-07,1.999999078155541e+00,9.999991221803437e-01,1.000000026414886e+00,3.250706507768821e-04,3.141592570650777e+00,1.256637061435946e+01
1.999999866982525e+00,1.995262314968858e-07,1.999998854780834e+00,9.999989102047722e-01,1.000000033254370e+00,3.647491827921243e-04,3.141592549182792e+00,1.256637061435965e+01
1.999999832540920e+00,2.511886431509552e-07,1.999998577533985e+00,9.999986473085892e-01,1.000000041864767e+00,4.092221590896322e-04,3.141592522159089e+00,1.256637061435983e+01
1.999999789181508e+00,3.162277660168341e-07,1.999998233492845e+00,9.999983213338673e-01,1.000000052704618e+00,4.591881423755576e-04,3.141592488142376e+00,1.256637061436022e+01
1.999999734595252e+00,3.981071705534921e-07,1.999997806655262e+00,9.999979172405489e-01,1.000000066351181e+00,5.152453236633247e-04,3.141592445323663e+00,1.256637061436085e+01
1.999999665875232e+00,5.011872336272653e-07,1.999997277210351e+00,9.999974164289709e-01,1.000000083531186e+00,5.780914262769752e-04,3.141592391426277e+00,1.256637061436179e+01
1.999999579361857e+00,6.309573444801840e-07,1.999996620639014e+00,9.999967959048536e-01,1.000000105159525e+00,6.486235850230323e-04,3.141592323585023e+00,1.256637061436324e+01
1.999999470447985e+00,7.943282347242692e-07,1.999995806604065e+00,9.999960272506559e-01,1.000000132387988e+00,7.277381942707195e-04,3.141592238194270e+00,1.256637061436553e+01
1.999999333333551e+00,9.999999999999836e-07,1.999994797580944e+00,9.999950753585011e-01,1.000000166666586e+00,8.165307167248584e-04,3.141592130716725e+00,1.256637061436905e+01
1.999999160716746e+00,1.258925411794146e-06,1.999993547169849e+00,9.999938968709987e-01,1.000000209820778e+00,9.161954430822019e-04,3.141591995443082e+00,1.256637061437471e+01
1.999998943405096e+00,1.584893192461085e-06,1.999991998015197e+00,9.999924382627451e-01,1.000000264148664e+00,1.027925189614571e-03,3.141591825189614e+00,1.256637061438335e+01
1.999998669826008e+00,1.995262314968842e-06,1.999990079243121e+00,9.999906334817686e-01,1.000000332543404e+00,1.153410918156099e-03,3.141591610918156e+00,1.256637061439691e+01
1.999998325410446e+00,2.511886431509531e-06,1.999987703306290e+00,9.999884010511240e-01,1.000000418647242e+00,1.294141258115009e-03,3.141591341258115e+00,1.256637061441800e+01
1.999997891817113e+00,3.162277660168315e-06,1.999984762101060e+00,9.999856405092975e-01,1.000000527045488e+00,1.452001905803141e-03,3.141591001905803e+00,1.256637061445078e+01
1.999997345955718e+00,3.981071705534888e-06,1.999981122191971e+00,9.999822280417000e-01,1.000000663510700e+00,1.629174869587671e-03,3.141590574869587e+00,1.256637061450184e+01
1.999996658757357e+00,5.011872336272612e-06,1.999976618941127e+00,9.999780111223027e-01,1.000000835310073e+00,1.827937521353119e-03,3.141590037521353e+00,1.256637061458117e+01
1.999995793626550e+00,6.309573444801788e-06,1.999971049296363e+00,9.999728019468112e-01,1.000001051592433e+00,2.050961405158384e-03,3.141589361405158e+00,1.256637061470467e+01
1.999994704492457e+00,7.943282347242627e-06,1.999964162936127e+00,9.999663693894221e-01,1.000001323875411e+00,2.301210741033023e-03,3.141588510741033e+00,1.256637061489659e+01
1.999993333355554e+00,9.999999999999755e-06,1.999955651404812e+00,9.999584291603697e-01,1.000001666658777e+00,2.582040546816931e-03,3.141587440546817e+00,1.256637061519498e+01
1.999991607199144e+00,1.258925411794135e-05,1.999945134790913e+00,9.999486317707217e-01,1.000002098196513e+00,2.897094280970382e-03,3.141586094280970e+00,1.256637061565827e+01
1.999989434101203e+00,1.584893192461072e-05,1.999932145404497e+00,9.999365478297673e-01,1.000002641468831e+00,3.250600885870070e-03,3.141584400885870e+00,1.256637061637772e+01
1.999986698339697e+00,1.995262314968826e-05,1.999916107793046e+00,9.999216500999030e-01,1.000003325405774e+00,3.647171080157312e-03,3.141582271080157e+00,1.256637061749428e+01
1.999983254230657e+00,2.511886431509510e-05,1.999896314294768e+00,9.999032916168807e-01,1.000004186427595e+00,4.092192712375827e-03,3.141579592712376e+00,1.256637061922662e+01
1.999978918371141e+00,3.162277660168289e-05,1.999871895158053e+00,9.998806790404694e-01,1.000005270383858e+00,4.591524941064047e-03,3.141576224941064e+00,1.256637062191281e+01
1.999973459874123e+00,3.981071705534855e-05,1.999841782053675e+00,9.998528402340517e-01,1.000006634994444e+00,5.151690950001950e-03,3.141571990950002e+00,1.256637062607589e+01
1.999966588075890e+00,5.011872336272571e-05,1.999804663562146e+00,9.998185848716621e-01,1.000008352922354e+00,5.780268836497575e-03,3.141566668836497e+00,1.256637063252496e+01
1.999957937061594e+00,6.309573444801737e-05,1.999758930929010e+00,9.997764566374489e-01,1.000010515641613e+00,6.485580223809281e-03,3.141559980223809e+00,1.256637064250972e+01
1.999947046186232e+00,7.943282347242562e-05,1.999702612035454e+00,9.997246753069429e-01,1.000013238306079e+00,7.276876043250975e-03,3.141551576043251e+00,1.256637065795992e+01
1.999933335555073e+00,9.999999999999673e-05,1.999633291122502e+00,9.996610666789036e-01,1.000016665877698e+00,8.164718801161219e-03,3.141541018801161e+00,1.256637068185296e+01
1.999916075160253e+00,1.258925411794125e-04,1.999548011324942e+00,9.995829779549440e-01,1.000020980839847e+00,9.160860489299615e-03,3.141527760489299e+00,1.256637071877941e+01
1.999894346033959e+00,1.584893192461059e-04,1.999443156504708e+00,9.994871757368922e-01,1.000026412905037e+00,1.027861510685846e-02,3.141511115106858e+00,1.256637077581150e+01
1.999866991355540e+00,1.995262314968809e-04,1.999314308213193e+00,9.993697233259305e-01,1.000033251231768e+00,1.153262453468588e-02,3.141490224534686e+00,1.256637086383522e+01
1.999832554918752e+00,2.511886431509490e-04,1.999156072847705e+00,9.992258334619993e-01,1.000041859797691e+00,1.293951623183873e-02,3.141464016231839e+00,1.256637099959209e+01
1.999789203697673e+00,3.162277660168263e-04,1.998961873189518e+00,9.990496920378230e-01,1.000052696742213e+00,1.451815090617176e-02,3.141431150906172e+00,1.256637120880406e+01
1.999734630412339e+00,3.981071705534823e-04,1.998723697515659e+00,9.988342476687235e-01,1.000066338699893e+00,1.628915794160453e-02,3.141389957941604e+00,1.256637153095030e+01
1.999665930944217e+00,5.011872336272530e-04,1.998431798361535e+00,9.985709613112226e-01,1.000083511406751e+00,1.827605594425302e-02,3.141338355944253e+00,1.256637202655904e+01
1.999579450134891e+00,6.309573444801685e-04,1.998074331786696e+00,9.982495094299778e-01,1.000105128187499e+00,2.050525530086329e-02,3.141273755300863e+00,1.256637278831963e+01
1.999470587853643e+00,7.943282347242497e-04,1.997636926682415e+00,9.978574335580990e-01,1.000132338338969e+00,2.300593913952847e-02,3.141192939139528e+00,1.256637395799149e+01
1.999333555159915e+00,9.999999999999590e-04,1.997102172297456e+00,9.973797285492004e-01,1.000166587931884e+00,2.581131856549144e-02,3.141091918565491e+00,1.256637575208302e+01
1.999161067818517e+00,1.258925411794115e-03,1.996449010821627e+00,9.967983614849412e-01,1.000209696183089e+00,2.895835755801899e-02,3.140965757558019e+00,1.256637850077026e+01
1.998943961229416e+00,1.584893192461046e-03,1.995652020662219e+00,9.960917132235915e-01,1.000263951330087e+00,3.248826252465650e-02,3.140808362524656e+00,1.256638270675360e+01
1.998670706870604e+00,1.995262314968793e-03,1.994680575148397e+00,9.952339351608740e-01,1.000332230900487e+00,3.644743132279112e-02,3.140612231322791e+00,1.256638913403980e+01
1.998326805455370e+00,2.511886431509469e-03,1.993497861047994e+00,9.941942152062100e-01,1.000418152446154e+00,4.088775673625929e-02,3.140368156736259e+00,1.256639894150010e+01
1.997894025986175e+00,3.162277660168237e-03,1.992059741826235e+00,9.929359496296124e-01,1.000526262243150e+00,4.586698016669608e-02,3.140064880166696e+00,1.256641388315973e+01
1.997349452535958e+00,3.981071705534790e-03,1.990313452497993e+00,9.914158217989713e-01,1.000662271182468e+00,5.144969299619202e-02,3.139688692996192e+00,1.256643660752196e+01
