KappaT,Bond,Height,Zcm,Width,Rfoot,Perimeter,SurfaceArea
1.996258022155415e+00,1.000000000000000e-08,1.999999913045126e+00,9.999999158125705e-01,1.000000001669020e+00,2.648370362421555e-06,3.141592648370362e+00,1.256637061435531e+01
1.996258022155415e+00,1.778279410038923e-08,1.999999852071845e+00,9.999998570011749e-01,1.000000002966155e+00,4.644302063609224e-06,3.141592644302064e+00,1.256637061435533e+01
1.996258022155415e+00,3.162277660168379e-08,1.999999747448008e+00,9.999997562217949e-01,1.000000005272825e+00,7.637068616052791e-06,3.141592637068616e+00,1.256637061435543e+01
1.996258022155415e+00,5.623413251903490e-08,1.999999569752184e+00,9.999995853624617e-01,1.000000009374717e+00,1.262420888593156e-05,3.141592624208886e+00,1.256637061435545e+01
1.996258022155415e+00,1.000000000000000e-07,1.999999270659129e+00,9.999992984265952e-01,1.000000016669030e+00,2.160134111281573e-05,3.141592601341113e+00,1.256637061435559e+01
1.996258022155415e+00,1.778279410038923e-07,1.999998768361062e+00,9.999988177474014e-01,1.000000029640355e+00,3.756067750091417e-05,3.141592560677501e+00,1.256637061435591e+01
1.996258022155415e+00,3.162277660168379e-07,1.999997929276147e+00,9.999980171068736e-01,1.000000052706985e+00,6.648836798543424e-05,3.141592488367985e+00,1.256637061435677e+01
1.996258022155415e+00,5.623413251903490e-07,1.999996521564727e+00,9.999966777602973e-01,1.000000093725895e+00,1.153598070359812e-04,3.141592359807036e+00,1.256637061435940e+01
1.996258022155415e+00,1.000000000000000e-06,1.999994173489064e+00,9.999944512563723e-01,1.000000166668962e+00,2.001312396765585e-04,3.141592131239676e+00,1.256637061436708e+01
1.996258022155415e+00,1.778279410038923e-06,1.999990247247901e+00,9.999907412035758e-01,1.000000296382060e+00,3.407249500058283e-04,3.141591724950006e+00,1.256637061438984e+01
1.996258022155415e+00,3.162277660168379e-06,1.999983679347514e+00,9.999845577558174e-01,1.000000527038106e+00,5.690028731910074e-04,3.141591002873191e+00,1.256637061420743e+01
1.996258022155415e+00,5.623413251903491e-06,1.999972651969214e+00,9.999742140221517e-01,1.000000937226053e+00,9.227200947368427e-04,3.141589720094736e+00,1.256637061440528e+01
1.996258022155415e+00,1.000000000000000e-05,1.999954094486429e+00,9.999568722442784e-01,1.000001666652586e+00,1.452442045074305e-03,3.141587442045074e+00,1.256637061499048e+01
1.996258022155415e+00,1.778279410038923e-05,1.999922791337780e+00,9.999277309383375e-01,1.000002963769518e+00,2.214398678843439e-03,3.141583398678844e+00,1.256637061672458e+01
1.996258022155415e+00,3.162277660168380e-05,1.999869972803595e+00,9.998787566988042e-01,1.000005270383197e+00,3.282226877881224e-03,3.141576226877881e+00,1.256637062187643e+01
1.996258022155415e+00,5.623413251903491e-05,1.999780935235647e+00,9.997965551528829e-01,1.000009372112507e+00,4.750517424417452e-03,3.141563517424418e+00,1.256637063714242e+01
1.996258022155415e+00,1.000000000000000e-04,1.999631137837719e+00,9.996589134499202e-01,1.000016665898294e+00,6.744021073004401e-03,3.141541021073004e+00,1.256637068240523e+01
1.996258022155415e+00,1.778279410038923e-04,1.999379814346077e+00,9.994292040831313e-01,1.000029635543061e+00,9.430264361467164e-03,3.141501264361467e+00,1.256637081633372e+01
1.996258022155415e+00,3.162277660168379e-04,1.998959586444806e+00,9.990474055011084e-01,1.000052696840521e+00,1.303315357537142e-02,3.141431153575371e+00,1.256637121140475e+01
1.996258022155415e+00,5.623413251903491e-04,1.998259764297046e+00,9.984159004691654e-01,1.000093698822422e+00,1.785286825342389e-02,3.141307868253424e+00,1.256637237169369e+01
1.996258022155415e+00,1.000000000000000e-03,1.997099809189941e+00,9.973773661649914e-01,1.000166588289371e+00,2.428992213544899e-02,3.141091922135449e+00,1.256637576137116e+01
1.996258022155415e+00,1.778279410038923e-03,1.995187862315676e+00,9.956811311115441e-01,1.000296131974798e+00,3.287867516854584e-02,3.140715675168546e+00,1.256638559852145e+01
1.996258022155415e+00,3.162277660168379e-03,1.992057340162367e+00,9.929335503609326e-01,1.000526263446412e+00,4.432688642835601e-02,3.140064886428356e+00,1.256641391397617e+01
1.996258022155415e+00,5.623413251903491e-03,1.986973076155733e+00,9.885282153021493e-01,1.000934769129252e+00,5.957046726389267e-02,3.138950467263893e+00,1.256649459014174e+01
